# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,
# retrieved: 2023-04-20 02:46:13 EDT       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08168710 Comal Spgs at New Braunfels, TX",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08168710,,,,
#            TS   parameter     statistic     Description,,,,
"#        136450       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,136450_00060_00003,136450_00060_00003_cd
USGS,8168710,1/22/1928,300,A
USGS,8168710,1/23/1928,300,A
USGS,8168710,1/24/1928,300,A
USGS,8168710,1/25/1928,297,A
USGS,8168710,1/26/1928,297,A
USGS,8168710,1/27/1928,297,A
USGS,8168710,1/28/1928,297,A
USGS,8168710,1/29/1928,297,A
USGS,8168710,1/30/1928,296,A
USGS,8168710,1/31/1928,294,A
USGS,8168710,2/1/1928,294,A
USGS,8168710,2/2/1928,294,A
USGS,8168710,2/3/1928,294,A
USGS,8168710,2/4/1928,297,A
USGS,8168710,2/5/1928,294,A
USGS,8168710,2/6/1928,297,A
USGS,8168710,2/7/1928,300,A
USGS,8168710,2/8/1928,294,A
USGS,8168710,2/9/1928,289,A
USGS,8168710,2/10/1928,286,A
USGS,8168710,2/11/1928,291,A
USGS,8168710,2/12/1928,291,A
USGS,8168710,2/13/1928,291,A
USGS,8168710,2/14/1928,292,A
USGS,8168710,2/15/1928,294,A
USGS,8168710,2/16/1928,294,A
USGS,8168710,2/17/1928,294,A
USGS,8168710,2/18/1928,291,A
USGS,8168710,2/19/1928,294,A
USGS,8168710,2/20/1928,294,A
USGS,8168710,2/21/1928,,
USGS,8168710,2/22/1928,,
USGS,8168710,2/23/1928,,
USGS,8168710,2/24/1928,,
USGS,8168710,2/25/1928,305,A
USGS,8168710,2/26/1928,305,A
USGS,8168710,2/27/1928,302,A
USGS,8168710,2/28/1928,302,A
USGS,8168710,2/29/1928,300,A
USGS,8168710,3/1/1928,297,A
USGS,8168710,3/2/1928,297,A
USGS,8168710,3/3/1928,297,A
USGS,8168710,3/4/1928,294,A
USGS,8168710,3/5/1928,294,A
USGS,8168710,3/6/1928,294,A
USGS,8168710,3/7/1928,294,A
USGS,8168710,3/8/1928,291,A
USGS,8168710,3/9/1928,,
USGS,8168710,3/10/1928,,
USGS,8168710,3/11/1928,,
USGS,8168710,3/12/1928,,
USGS,8168710,3/13/1928,297,A
USGS,8168710,3/14/1928,297,A
USGS,8168710,3/15/1928,300,A
USGS,8168710,3/16/1928,297,A
USGS,8168710,3/17/1928,297,A
USGS,8168710,3/18/1928,297,A
USGS,8168710,3/19/1928,297,A
USGS,8168710,3/20/1928,297,A
USGS,8168710,3/21/1928,300,A
USGS,8168710,3/22/1928,297,A
USGS,8168710,3/23/1928,297,A
USGS,8168710,3/24/1928,300,A
USGS,8168710,3/25/1928,300,A
USGS,8168710,3/26/1928,300,A
USGS,8168710,3/27/1928,300,A
USGS,8168710,3/28/1928,300,A
USGS,8168710,3/29/1928,300,A
USGS,8168710,3/30/1928,300,A
USGS,8168710,3/31/1928,300,A
USGS,8168710,4/1/1928,300,A
USGS,8168710,4/2/1928,297,A
USGS,8168710,4/3/1928,297,A
USGS,8168710,4/4/1928,294,A
USGS,8168710,4/5/1928,292,A
USGS,8168710,4/6/1928,291,A
USGS,8168710,4/7/1928,291,A
USGS,8168710,4/8/1928,294,A
USGS,8168710,4/9/1928,297,A
USGS,8168710,4/10/1928,300,A
USGS,8168710,4/11/1928,297,A
USGS,8168710,4/12/1928,296,A
USGS,8168710,4/13/1928,294,A
USGS,8168710,4/14/1928,299,A
USGS,8168710,4/15/1928,305,A
USGS,8168710,4/16/1928,301,A
USGS,8168710,4/17/1928,297,A
USGS,8168710,4/18/1928,300,A
USGS,8168710,4/19/1928,300,A
USGS,8168710,4/20/1928,302,A
USGS,8168710,4/21/1928,300,A
USGS,8168710,4/22/1928,300,A
USGS,8168710,4/23/1928,297,A
USGS,8168710,4/24/1928,297,A
USGS,8168710,4/25/1928,297,A
USGS,8168710,4/26/1928,297,A
USGS,8168710,4/27/1928,294,A
USGS,8168710,4/28/1928,291,A
USGS,8168710,4/29/1928,294,A
USGS,8168710,4/30/1928,294,A
USGS,8168710,5/1/1928,294,A
USGS,8168710,5/2/1928,297,A
USGS,8168710,5/3/1928,294,A
USGS,8168710,5/4/1928,291,A
USGS,8168710,5/5/1928,291,A
USGS,8168710,5/6/1928,291,A
USGS,8168710,5/7/1928,291,A
USGS,8168710,5/8/1928,289,A
USGS,8168710,5/9/1928,289,A
USGS,8168710,5/10/1928,291,A
USGS,8168710,5/11/1928,291,A
USGS,8168710,5/12/1928,289,A
USGS,8168710,5/13/1928,,
USGS,8168710,5/14/1928,,
USGS,8168710,5/15/1928,300,A
USGS,8168710,5/16/1928,297,A
USGS,8168710,5/17/1928,294,A
USGS,8168710,5/18/1928,297,A
USGS,8168710,5/19/1928,294,A
USGS,8168710,5/20/1928,292,A
USGS,8168710,5/21/1928,291,A
USGS,8168710,5/22/1928,291,A
USGS,8168710,5/23/1928,289,A
USGS,8168710,5/24/1928,289,A
USGS,8168710,5/25/1928,289,A
USGS,8168710,5/26/1928,289,A
USGS,8168710,5/27/1928,291,A
USGS,8168710,5/28/1928,286,A
USGS,8168710,5/29/1928,291,A
USGS,8168710,5/30/1928,297,A
USGS,8168710,5/31/1928,300,A
USGS,8168710,6/1/1928,300,A
USGS,8168710,6/2/1928,301,A
USGS,8168710,6/3/1928,302,A
USGS,8168710,6/4/1928,300,A
USGS,8168710,6/5/1928,294,A
USGS,8168710,6/6/1928,291,A
USGS,8168710,6/7/1928,291,A
USGS,8168710,6/8/1928,291,A
USGS,8168710,6/9/1928,294,A
USGS,8168710,6/10/1928,298,A
USGS,8168710,6/11/1928,302,A
USGS,8168710,6/12/1928,302,A
USGS,8168710,6/13/1928,,
USGS,8168710,6/14/1928,,
USGS,8168710,6/15/1928,,
USGS,8168710,6/16/1928,,
USGS,8168710,6/17/1928,305,A
USGS,8168710,6/18/1928,305,A
USGS,8168710,6/19/1928,300,A
USGS,8168710,6/20/1928,300,A
USGS,8168710,6/21/1928,300,A
USGS,8168710,6/22/1928,300,A
USGS,8168710,6/23/1928,297,A
USGS,8168710,6/24/1928,297,A
USGS,8168710,6/25/1928,297,A
USGS,8168710,6/26/1928,297,A
USGS,8168710,6/27/1928,294,A
USGS,8168710,6/28/1928,294,A
USGS,8168710,6/29/1928,297,A
USGS,8168710,6/30/1928,294,A
USGS,8168710,7/1/1928,297,A
USGS,8168710,7/2/1928,294,A
USGS,8168710,7/3/1928,294,A
USGS,8168710,7/4/1928,291,A
USGS,8168710,7/5/1928,291,A
USGS,8168710,7/6/1928,291,A
USGS,8168710,7/7/1928,292,A
USGS,8168710,7/8/1928,294,A
USGS,8168710,7/9/1928,294,A
USGS,8168710,7/10/1928,291,A
USGS,8168710,7/11/1928,289,A
USGS,8168710,7/12/1928,289,A
USGS,8168710,7/13/1928,286,A
USGS,8168710,7/14/1928,289,A
USGS,8168710,7/15/1928,289,A
USGS,8168710,7/16/1928,289,A
USGS,8168710,7/17/1928,286,A
USGS,8168710,7/18/1928,289,A
USGS,8168710,7/19/1928,291,A
USGS,8168710,7/20/1928,286,A
USGS,8168710,7/21/1928,289,A
USGS,8168710,7/22/1928,289,A
USGS,8168710,7/23/1928,291,A
USGS,8168710,7/24/1928,285,A
USGS,8168710,7/25/1928,280,A
USGS,8168710,7/26/1928,283,A
USGS,8168710,7/27/1928,280,A
USGS,8168710,7/28/1928,282,A
USGS,8168710,7/29/1928,283,A
USGS,8168710,7/30/1928,282,A
USGS,8168710,7/31/1928,280,A
USGS,8168710,8/1/1928,280,A
USGS,8168710,8/2/1928,283,A
USGS,8168710,8/3/1928,280,A
USGS,8168710,8/4/1928,280,A
USGS,8168710,8/5/1928,283,A
USGS,8168710,8/6/1928,280,A
USGS,8168710,8/7/1928,283,A
USGS,8168710,8/8/1928,278,A
USGS,8168710,8/9/1928,278,A
USGS,8168710,8/10/1928,283,A
USGS,8168710,8/11/1928,278,A
USGS,8168710,8/12/1928,280,A
USGS,8168710,8/13/1928,275,A
USGS,8168710,8/14/1928,280,A
USGS,8168710,8/15/1928,280,A
USGS,8168710,8/16/1928,278,A
USGS,8168710,8/17/1928,278,A
USGS,8168710,8/18/1928,275,A
USGS,8168710,8/19/1928,272,A
USGS,8168710,8/20/1928,267,A
USGS,8168710,8/21/1928,264,A
USGS,8168710,8/22/1928,262,A
USGS,8168710,8/23/1928,264,A
USGS,8168710,8/24/1928,264,A
USGS,8168710,8/25/1928,264,A
USGS,8168710,8/26/1928,267,A
USGS,8168710,8/27/1928,272,A
USGS,8168710,8/28/1928,272,A
USGS,8168710,8/29/1928,275,A
USGS,8168710,8/30/1928,275,A
USGS,8168710,8/31/1928,272,A
USGS,8168710,9/1/1928,275,A
USGS,8168710,9/2/1928,275,A
USGS,8168710,9/3/1928,275,A
USGS,8168710,9/4/1928,275,A
USGS,8168710,9/5/1928,272,A
USGS,8168710,9/6/1928,270,A
USGS,8168710,9/7/1928,270,A
USGS,8168710,9/8/1928,272,A
USGS,8168710,9/9/1928,272,A
USGS,8168710,9/10/1928,272,A
USGS,8168710,9/11/1928,267,A
USGS,8168710,9/12/1928,270,A
USGS,8168710,9/13/1928,272,A
USGS,8168710,9/14/1928,272,A
USGS,8168710,9/15/1928,275,A
USGS,8168710,9/16/1928,275,A
USGS,8168710,9/17/1928,272,A
USGS,8168710,9/18/1928,270,A
USGS,8168710,9/19/1928,267,A
USGS,8168710,9/20/1928,272,A
USGS,8168710,9/21/1928,275,A
USGS,8168710,9/22/1928,275,A
USGS,8168710,9/23/1928,278,A
USGS,8168710,9/24/1928,280,A
USGS,8168710,9/25/1928,275,A
USGS,8168710,9/26/1928,280,A
USGS,8168710,9/27/1928,278,A
USGS,8168710,9/28/1928,280,A
USGS,8168710,9/29/1928,283,A
USGS,8168710,9/30/1928,283,A
USGS,8168710,10/1/1928,280,A
USGS,8168710,10/2/1928,280,A
USGS,8168710,10/3/1928,280,A
USGS,8168710,10/4/1928,278,A
USGS,8168710,10/5/1928,275,A
USGS,8168710,10/6/1928,278,A
USGS,8168710,10/7/1928,282,A
USGS,8168710,10/8/1928,282,A
USGS,8168710,10/9/1928,282,A
USGS,8168710,10/10/1928,282,A
USGS,8168710,10/11/1928,282,A
USGS,8168710,10/12/1928,282,A
USGS,8168710,10/13/1928,282,A
USGS,8168710,10/14/1928,282,A
USGS,8168710,10/15/1928,282,A
USGS,8168710,10/16/1928,284,A
USGS,8168710,10/17/1928,286,A
USGS,8168710,10/18/1928,283,A
USGS,8168710,10/19/1928,283,A
USGS,8168710,10/20/1928,284,A
USGS,8168710,10/21/1928,286,A
USGS,8168710,10/22/1928,283,A
USGS,8168710,10/23/1928,283,A
USGS,8168710,10/24/1928,283,A
USGS,8168710,10/25/1928,282,A
USGS,8168710,10/26/1928,282,A
USGS,8168710,10/27/1928,283,A
USGS,8168710,10/28/1928,283,A
USGS,8168710,10/29/1928,283,A
USGS,8168710,10/30/1928,280,A
USGS,8168710,10/31/1928,280,A
USGS,8168710,11/1/1928,280,A
USGS,8168710,11/2/1928,275,A
USGS,8168710,11/3/1928,275,A
USGS,8168710,11/4/1928,272,A
USGS,8168710,11/5/1928,277,A
USGS,8168710,11/6/1928,283,A
USGS,8168710,11/7/1928,278,A
USGS,8168710,11/8/1928,280,A
USGS,8168710,11/9/1928,278,A
USGS,8168710,11/10/1928,278,A
USGS,8168710,11/11/1928,278,A
USGS,8168710,11/12/1928,280,A
USGS,8168710,11/13/1928,280,A
USGS,8168710,11/14/1928,280,A
USGS,8168710,11/15/1928,278,A
USGS,8168710,11/16/1928,275,A
USGS,8168710,11/17/1928,275,A
USGS,8168710,11/18/1928,275,A
USGS,8168710,11/19/1928,275,A
USGS,8168710,11/20/1928,275,A
USGS,8168710,11/21/1928,272,A
USGS,8168710,11/22/1928,275,A
USGS,8168710,11/23/1928,272,A
USGS,8168710,11/24/1928,275,A
USGS,8168710,11/25/1928,275,A
USGS,8168710,11/26/1928,274,A
USGS,8168710,11/27/1928,272,A
USGS,8168710,11/28/1928,272,A
USGS,8168710,11/29/1928,272,A
USGS,8168710,11/30/1928,274,A
USGS,8168710,12/1/1928,275,A
USGS,8168710,12/2/1928,278,A
USGS,8168710,12/3/1928,278,A
USGS,8168710,12/4/1928,278,A
USGS,8168710,12/5/1928,278,A
USGS,8168710,12/6/1928,278,A
USGS,8168710,12/7/1928,275,A
USGS,8168710,12/8/1928,275,A
USGS,8168710,12/9/1928,275,A
USGS,8168710,12/10/1928,271,A
USGS,8168710,12/11/1928,267,A
USGS,8168710,12/12/1928,272,A
USGS,8168710,12/13/1928,278,A
USGS,8168710,12/14/1928,280,A
USGS,8168710,12/15/1928,281,A
USGS,8168710,12/16/1928,283,A
USGS,8168710,12/17/1928,283,A
USGS,8168710,12/18/1928,283,A
USGS,8168710,12/19/1928,286,A
USGS,8168710,12/20/1928,286,A
USGS,8168710,12/21/1928,289,A
USGS,8168710,12/22/1928,289,A
USGS,8168710,12/23/1928,283,A
USGS,8168710,12/24/1928,278,A
USGS,8168710,12/25/1928,278,A
USGS,8168710,12/26/1928,278,A
USGS,8168710,12/27/1928,275,A
USGS,8168710,12/28/1928,275,A
USGS,8168710,12/29/1928,278,A
USGS,8168710,12/30/1928,280,A
USGS,8168710,12/31/1928,280,A
USGS,8168710,1/1/1929,278,A
USGS,8168710,1/2/1929,275,A
USGS,8168710,1/3/1929,278,A
USGS,8168710,1/4/1929,281,A
USGS,8168710,1/5/1929,283,A
USGS,8168710,1/6/1929,286,A
USGS,8168710,1/7/1929,283,A
USGS,8168710,1/8/1929,280,A
USGS,8168710,1/9/1929,280,A
USGS,8168710,1/10/1929,280,A
USGS,8168710,1/11/1929,278,A
USGS,8168710,1/12/1929,278,A
USGS,8168710,1/13/1929,283,A
USGS,8168710,1/14/1929,280,A
USGS,8168710,1/15/1929,280,A
USGS,8168710,1/16/1929,280,A
USGS,8168710,1/17/1929,279,A
USGS,8168710,1/18/1929,278,A
USGS,8168710,1/19/1929,278,A
USGS,8168710,1/20/1929,278,A
USGS,8168710,1/21/1929,280,A
USGS,8168710,1/22/1929,280,A
USGS,8168710,1/23/1929,278,A
USGS,8168710,1/24/1929,278,A
USGS,8168710,1/25/1929,280,A
USGS,8168710,1/26/1929,278,A
USGS,8168710,1/27/1929,275,A
USGS,8168710,1/28/1929,280,A
USGS,8168710,1/29/1929,278,A
USGS,8168710,1/30/1929,280,A
USGS,8168710,1/31/1929,278,A
USGS,8168710,2/1/1929,275,A
USGS,8168710,2/2/1929,272,A
USGS,8168710,2/3/1929,274,A
USGS,8168710,2/4/1929,275,A
USGS,8168710,2/5/1929,278,A
USGS,8168710,2/6/1929,278,A
USGS,8168710,2/7/1929,278,A
USGS,8168710,2/8/1929,275,A
USGS,8168710,2/9/1929,274,A
USGS,8168710,2/10/1929,272,A
USGS,8168710,2/11/1929,275,A
USGS,8168710,2/12/1929,275,A
USGS,8168710,2/13/1929,272,A
USGS,8168710,2/14/1929,272,A
USGS,8168710,2/15/1929,272,A
USGS,8168710,2/16/1929,275,A
USGS,8168710,2/17/1929,275,A
USGS,8168710,2/18/1929,272,A
USGS,8168710,2/19/1929,272,A
USGS,8168710,2/20/1929,275,A
USGS,8168710,2/21/1929,270,A
USGS,8168710,2/22/1929,270,A
USGS,8168710,2/23/1929,272,A
USGS,8168710,2/24/1929,272,A
USGS,8168710,2/25/1929,272,A
USGS,8168710,2/26/1929,272,A
USGS,8168710,2/27/1929,272,A
USGS,8168710,2/28/1929,275,A
USGS,8168710,3/1/1929,272,A
USGS,8168710,3/2/1929,272,A
USGS,8168710,3/3/1929,272,A
USGS,8168710,3/4/1929,275,A
USGS,8168710,3/5/1929,278,A
USGS,8168710,3/6/1929,278,A
USGS,8168710,3/7/1929,278,A
USGS,8168710,3/8/1929,280,A
USGS,8168710,3/9/1929,278,A
USGS,8168710,3/10/1929,278,A
USGS,8168710,3/11/1929,278,A
USGS,8168710,3/12/1929,274,A
USGS,8168710,3/13/1929,271,A
USGS,8168710,3/14/1929,267,A
USGS,8168710,3/15/1929,264,A
USGS,8168710,3/16/1929,259,A
USGS,8168710,3/17/1929,264,A
USGS,8168710,3/18/1929,259,A
USGS,8168710,3/19/1929,259,A
USGS,8168710,3/20/1929,264,A
USGS,8168710,3/21/1929,267,A
USGS,8168710,3/22/1929,270,A
USGS,8168710,3/23/1929,267,A
USGS,8168710,3/24/1929,262,A
USGS,8168710,3/25/1929,262,A
USGS,8168710,3/26/1929,264,A
USGS,8168710,3/27/1929,264,A
USGS,8168710,3/28/1929,264,A
USGS,8168710,3/29/1929,264,A
USGS,8168710,3/30/1929,264,A
USGS,8168710,3/31/1929,267,A
USGS,8168710,4/1/1929,266,A
USGS,8168710,4/2/1929,265,A
USGS,8168710,4/3/1929,264,A
USGS,8168710,4/4/1929,264,A
USGS,8168710,4/5/1929,262,A
USGS,8168710,4/6/1929,262,A
USGS,8168710,4/7/1929,262,A
USGS,8168710,4/8/1929,264,A
USGS,8168710,4/9/1929,265,A
USGS,8168710,4/10/1929,267,A
USGS,8168710,4/11/1929,270,A
USGS,8168710,4/12/1929,275,A
USGS,8168710,4/13/1929,280,A
USGS,8168710,4/14/1929,280,A
USGS,8168710,4/15/1929,280,A
USGS,8168710,4/16/1929,280,A
USGS,8168710,4/17/1929,283,A
USGS,8168710,4/18/1929,280,A
USGS,8168710,4/19/1929,280,A
USGS,8168710,4/20/1929,280,A
USGS,8168710,4/21/1929,280,A
USGS,8168710,4/22/1929,278,A
USGS,8168710,4/23/1929,280,A
USGS,8168710,4/24/1929,280,A
USGS,8168710,4/25/1929,280,A
USGS,8168710,4/26/1929,280,A
USGS,8168710,4/27/1929,278,A
USGS,8168710,4/28/1929,278,A
USGS,8168710,4/29/1929,280,A
USGS,8168710,4/30/1929,278,A
USGS,8168710,5/1/1929,280,A
USGS,8168710,5/2/1929,280,A
USGS,8168710,5/3/1929,280,A
USGS,8168710,5/4/1929,275,A
USGS,8168710,5/5/1929,272,A
USGS,8168710,5/6/1929,272,A
USGS,8168710,5/7/1929,270,A
USGS,8168710,5/8/1929,270,A
USGS,8168710,5/9/1929,270,A
USGS,8168710,5/10/1929,267,A
USGS,8168710,5/11/1929,267,A
USGS,8168710,5/12/1929,270,A
USGS,8168710,5/13/1929,275,A
USGS,8168710,5/14/1929,272,A
USGS,8168710,5/15/1929,275,A
USGS,8168710,5/16/1929,275,A
USGS,8168710,5/17/1929,274,A
USGS,8168710,5/18/1929,273,A
USGS,8168710,5/19/1929,272,A
USGS,8168710,5/20/1929,274,A
USGS,8168710,5/21/1929,275,A
USGS,8168710,5/22/1929,280,A
USGS,8168710,5/23/1929,278,A
USGS,8168710,5/24/1929,,
USGS,8168710,5/25/1929,,
USGS,8168710,5/26/1929,,
USGS,8168710,5/27/1929,297,A
USGS,8168710,5/28/1929,,
USGS,8168710,5/29/1929,,
USGS,8168710,5/30/1929,,
USGS,8168710,5/31/1929,,
USGS,8168710,6/1/1929,,
USGS,8168710,6/2/1929,331,A
USGS,8168710,6/3/1929,325,A
USGS,8168710,6/4/1929,319,A
USGS,8168710,6/5/1929,316,A
USGS,8168710,6/6/1929,314,A
USGS,8168710,6/7/1929,314,A
USGS,8168710,6/8/1929,311,A
USGS,8168710,6/9/1929,306,A
USGS,8168710,6/10/1929,302,A
USGS,8168710,6/11/1929,298,A
USGS,8168710,6/12/1929,294,A
USGS,8168710,6/13/1929,294,A
USGS,8168710,6/14/1929,292,A
USGS,8168710,6/15/1929,291,A
USGS,8168710,6/16/1929,291,A
USGS,8168710,6/17/1929,289,A
USGS,8168710,6/18/1929,294,A
USGS,8168710,6/19/1929,297,A
USGS,8168710,6/20/1929,297,A
USGS,8168710,6/21/1929,296,A
USGS,8168710,6/22/1929,294,A
USGS,8168710,6/23/1929,294,A
USGS,8168710,6/24/1929,294,A
USGS,8168710,6/25/1929,294,A
USGS,8168710,6/26/1929,294,A
USGS,8168710,6/27/1929,294,A
USGS,8168710,6/28/1929,297,A
USGS,8168710,6/29/1929,297,A
USGS,8168710,6/30/1929,297,A
USGS,8168710,7/1/1929,297,A
USGS,8168710,7/2/1929,297,A
USGS,8168710,7/3/1929,300,A
USGS,8168710,7/4/1929,302,A
USGS,8168710,7/5/1929,,
USGS,8168710,7/6/1929,,
USGS,8168710,7/7/1929,,
USGS,8168710,7/8/1929,,
USGS,8168710,7/9/1929,322,A
USGS,8168710,7/10/1929,319,A
USGS,8168710,7/11/1929,319,A
USGS,8168710,7/12/1929,316,A
USGS,8168710,7/13/1929,314,A
USGS,8168710,7/14/1929,313,A
USGS,8168710,7/15/1929,311,A
USGS,8168710,7/16/1929,318,A
USGS,8168710,7/17/1929,325,A
USGS,8168710,7/18/1929,325,A
USGS,8168710,7/19/1929,325,A
USGS,8168710,7/20/1929,322,A
USGS,8168710,7/21/1929,325,A
USGS,8168710,7/22/1929,325,A
USGS,8168710,7/23/1929,319,A
USGS,8168710,7/24/1929,322,A
USGS,8168710,7/25/1929,322,A
USGS,8168710,7/26/1929,324,A
USGS,8168710,7/27/1929,325,A
USGS,8168710,7/28/1929,325,A
USGS,8168710,7/29/1929,325,A
USGS,8168710,7/30/1929,322,A
USGS,8168710,7/31/1929,322,A
USGS,8168710,8/1/1929,322,A
USGS,8168710,8/2/1929,322,A
USGS,8168710,8/3/1929,322,A
USGS,8168710,8/4/1929,322,A
USGS,8168710,8/5/1929,322,A
USGS,8168710,8/6/1929,319,A
USGS,8168710,8/7/1929,319,A
USGS,8168710,8/8/1929,319,A
USGS,8168710,8/9/1929,319,A
USGS,8168710,8/10/1929,316,A
USGS,8168710,8/11/1929,316,A
USGS,8168710,8/12/1929,316,A
USGS,8168710,8/13/1929,314,A
USGS,8168710,8/14/1929,314,A
USGS,8168710,8/15/1929,309,A
USGS,8168710,8/16/1929,305,A
USGS,8168710,8/17/1929,305,A
USGS,8168710,8/18/1929,302,A
USGS,8168710,8/19/1929,302,A
USGS,8168710,8/20/1929,302,A
USGS,8168710,8/21/1929,302,A
USGS,8168710,8/22/1929,308,A
USGS,8168710,8/23/1929,305,A
USGS,8168710,8/24/1929,302,A
USGS,8168710,8/25/1929,305,A
USGS,8168710,8/26/1929,300,A
USGS,8168710,8/27/1929,302,A
USGS,8168710,8/28/1929,300,A
USGS,8168710,8/29/1929,302,A
USGS,8168710,8/30/1929,300,A
USGS,8168710,8/31/1929,300,A
USGS,8168710,9/1/1929,302,A
USGS,8168710,9/2/1929,300,A
USGS,8168710,9/3/1929,300,A
USGS,8168710,9/4/1929,300,A
USGS,8168710,9/5/1929,300,A
USGS,8168710,9/6/1929,302,A
USGS,8168710,9/7/1929,302,A
USGS,8168710,9/8/1929,302,A
USGS,8168710,9/9/1929,302,A
USGS,8168710,9/10/1929,302,A
USGS,8168710,9/11/1929,302,A
USGS,8168710,9/12/1929,302,A
USGS,8168710,9/13/1929,302,A
USGS,8168710,9/14/1929,302,A
USGS,8168710,9/15/1929,302,A
USGS,8168710,9/16/1929,305,A
USGS,8168710,9/17/1929,302,A
USGS,8168710,9/18/1929,302,A
USGS,8168710,9/19/1929,300,A
USGS,8168710,9/20/1929,297,A
USGS,8168710,9/21/1929,297,A
USGS,8168710,9/22/1929,294,A
USGS,8168710,9/23/1929,294,A
USGS,8168710,9/24/1929,294,A
USGS,8168710,9/25/1929,294,A
USGS,8168710,9/26/1929,297,A
USGS,8168710,9/27/1929,300,A
USGS,8168710,9/28/1929,297,A
USGS,8168710,9/29/1929,297,A
USGS,8168710,9/30/1929,297,A
USGS,8168710,10/1/1929,297,A
USGS,8168710,10/2/1929,297,A
USGS,8168710,10/3/1929,294,A
USGS,8168710,10/4/1929,291,A
USGS,8168710,10/5/1929,291,A
USGS,8168710,10/6/1929,289,A
USGS,8168710,10/7/1929,291,A
USGS,8168710,10/8/1929,289,A
USGS,8168710,10/9/1929,289,A
USGS,8168710,10/10/1929,289,A
USGS,8168710,10/11/1929,286,A
USGS,8168710,10/12/1929,289,A
USGS,8168710,10/13/1929,289,A
USGS,8168710,10/14/1929,286,A
USGS,8168710,10/15/1929,291,A
USGS,8168710,10/16/1929,289,A
USGS,8168710,10/17/1929,289,A
USGS,8168710,10/18/1929,286,A
USGS,8168710,10/19/1929,286,A
